product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Соединитель СНЦ232, 272, 282 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ232, 272, 282 (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель СНЦ232, 272, 282 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ235 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ235 (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель СНЦ235 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ146 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ146 (вилка) || Количество сочленений-расчленений: 1000 || Описание: Соединитель СНЦ146 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ144К (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ144К (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 850, Вольт || Максимальный ток на контакт: 100, Ампер || Описание: Соединитель СНЦ144К (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ13,14,42 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ13,14,42 (вилка) || Максимальный ток на контакт: 1, Ампер || Количество сочленений-расчленений: 250 || Номинальное напряжение: 140, Вольт || Описание: Соединитель СНЦ13,14,42 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РСТВ (вилка);"";Без НДС;Штука;Описание: Соединитель РСТВ (вилка) || Количество сочленений-расчленений: 250 || Максимальный ток на контакт: 4, Ампер || Номинальное напряжение: 200, Вольт || Описание: Соединитель РСТВ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ150 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ150 (вилка) || Количество сочленений-расчленений: 600 || Максимальный ток на контакт: 3.7, Ампер || Номинальное напряжение: 200, Вольт || Описание: Соединитель СНЦ150 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРС3, РРС4, РРС5, РРС6 (вилка);"";Без НДС;Штука;Описание: Соединитель РРС3, РРС4, РРС5, РРС6 (вилка) || Номинальное напряжение: 200, Вольт || Максимальный ток на контакт: 2, Ампер || Количество сочленений-расчленений: 250 || Описание: Соединитель РРС3, РРС4, РРС5, РРС6 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ОНЦ-БС-1(2) (вилка);"";Без НДС;Штука;Описание: Соединитель ОНЦ-БС-1(2) (вилка) || Номинальное напряжение: 250, Вольт || Количество сочленений-расчленений: 250 || Описание: Соединитель ОНЦ-БС-1(2) (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ОНц-БС-1(2) (вилка);"";Без НДС;Штука;Описание: Соединитель ОНц-БС-1(2) (вилка) || Номинальное напряжение: 250, Вольт || Количество сочленений-расчленений: 250 || Описание: Соединитель ОНц-БС-1(2) (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ127 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ127 (вилка) || Количество сочленений-расчленений: 250 || Номинальное напряжение: 700, Вольт || Описание: Соединитель СНЦ127 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель МР1 (вилка);"";Без НДС;Штука;Описание: Соединитель МР1 (вилка) || Количество сочленений-расчленений: 250 || Номинальное напряжение: 150, Вольт || Максимальный ток на контакт: 0.5, Ампер || Описание: Соединитель МР1 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ОНЦ-ВГ-6(7) (вилка);"";Без НДС;Штука;Описание: Соединитель ОНЦ-ВГ-6(7) (вилка) || Максимальный ток на контакт: 8, Ампер || Количество сочленений-расчленений: 1000 || Номинальное напряжение: 310, Вольт || Описание: Соединитель ОНЦ-ВГ-6(7) (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РВН1, РВН2, РВН3 (вилка);"";Без НДС;Штука;Описание: Соединитель РВН1, РВН2, РВН3 (вилка) || Количество контактов: 5 || Номинальное напряжение: 200, Вольт || Максимальный ток на контакт: 5, Ампер || Количество сочленений-расчленений: 500 || Описание: Соединитель РВН1, РВН2, РВН3 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРС5Ф (вилка);"";Без НДС;Штука;Описание: Соединитель РРС5Ф (вилка) || Количество сочленений-расчленений: 250 || Описание: Соединитель РРС5Ф (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ127Ф (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ127Ф (вилка) || Количество сочленений-расчленений: 250 || Описание: Соединитель СНЦ127Ф (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РСГТВФ (вилка);"";Без НДС;Штука;Описание: Соединитель РСГТВФ (вилка) || Максимальный ток на контакт: 1.5, Ампер || Количество сочленений-расчленений: 250 || Описание: Соединитель РСГТВФ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ВИ, ВВТ (вилка);"";Без НДС;Штука;Описание: Соединитель ВИ, ВВТ (вилка) || Количество сочленений-расчленений: 500 || Количество контактов: 1 || Описание: Соединитель ВИ, ВВТ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 12Р (вилка);"";Без НДС;Штука;Описание: Соединитель 12Р (вилка) || Номинальное напряжение: 100, Вольт || Максимальный ток на контакт: 3, Ампер || Количество сочленений-расчленений: 500 || Описание: Соединитель 12Р (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ОНП-ЖИ-8 (вилка);"";Без НДС;Штука;Описание: Соединитель ОНП-ЖИ-8 (вилка) || Номинальное напряжение: 150, Вольт || Количество сочленений-расчленений: 250 || Максимальный ток на контакт: 1, Ампер || Описание: Соединитель ОНП-ЖИ-8 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РПС1 (вилка);"";Без НДС;Штука;Описание: Соединитель РПС1 (вилка) || Максимальный ток на контакт: 2, Ампер || Количество сочленений-расчленений: 250 || Номинальное напряжение: 100, Вольт || Описание: Соединитель РПС1 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНП381К (вилка);"";Без НДС;Штука;Описание: Соединитель СНП381К (вилка) || Номинальное напряжение: 150, Вольт || Количество контактов: 120 || Максимальный ток на контакт: 2, Ампер || Количество сочленений-расчленений: 500 || Описание: Соединитель СНП381К (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНП387 (вилка);"";Без НДС;Штука;Описание: Соединитель СНП387 (вилка) || Максимальный ток на контакт: 7, Ампер || Количество сочленений-расчленений: 500 || Номинальное напряжение: 250, Вольт || Количество контактов: 15 || Описание: Соединитель СНП387 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СП397;"";Без НДС;Штука;Описание: Соединитель СП397 || Количество сочленений-расчленений: 500 || Номинальное напряжение: 150, Вольт || Описание: Соединитель СП397;27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 5Р (вилка);"";Без НДС;Штука;Описание: Соединитель 5Р (вилка) || Номинальное напряжение: 400, Вольт || Количество контактов: 3 || Максимальный рабочий ток на контакт: 50, Ампер || Количество сочленений-расчленений: 500 || Описание: Соединитель 5Р (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СР50-775ФВ (розетка);"";Без НДС;Штука;Описание: Соединитель СР50-775ФВ (розетка) || Номинальное напряжение: 100, Вольт || Количество контактов: 1 || Срок сохраняемости, не менее: 15, Год || Количество сочленений-расчленений: 500 || Описание: Соединитель СР50-775ФВ (розетка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
