product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Мыло жидкое “Делия-септ” 5 л;399.0;20%;Штука;Действующие вещества: тетранил У || Назначение средства: Гигиеническая обработка рук хирургов, операционных медицинских сестер, акушерок и других лиц, участвующих в проведении операций,  приеме родов и др. перед обработкой антисептическим средством. •    Гигиеническая и санитарная обработка кожных покровов медицинского персонала в ЛПО, а также предоперационного и послеоперационного мытья кожи пациентов в ЛПО. •    Гигиеническая и санитарная обработка кожных покровов и дериватов кожи (мытье волос головы) пациентов ЛПО любого профиля, включая лежачих больных с целью профилактики возникновения пролежней. •    Гигиеническая и санитарная обработка пациентов акушерско-гинекологических стационаров, включая детей с первых дней жизни. •    Гигиеническая, санитарная профилактическая обработка кожных покровов ног. || Объем: 5л дм[3*] || Свойства: бактерицидное (в т.ч возбудители ВБИ, туберкулеза), вирулицидное (в т.ч возбудители парентеральных гепатитов и ВИЧ-инфекции), фунгицидное (грибы - возбудители дерматофитий и кандидозов), овоцидное (возбудители гельминтозов и лямблиозов). || Срок годности: 5г лет || Форма выпуска: канистра || Описание: Мыло жидкое “Делия-септ” 5 л;20.20.14.000;Средства дезинфекционные;c2c3bea3f9fe8262cea420f1b6d3772b;643
Перчатки одноразовые виниловые неопудренные прозрачные (размер S, 100 штук/50 пар в упаковке);655.6;20%;Упаковка;Количество в коробе: 10упак || Вес пары: 9.0г || Вид упаковки: картонная коробка || Длина: 240мм || Для пищевой промышленности: True || Количество в упаковке: 100шт || Материал: винил || Размер: S (7) || Стандарты: ГОСТ 12.4.252-2013 , ГОСТ Р 50962-96 || Тип: универсальные || Тип поверхности: гладкие || Толщина пальцев: 0.08мм || Форма: неанатомическая || Цвет: прозрачный || Описание: Перчатки одноразовые виниловые неопудренные прозрачные (размер S, 100 штук/50 пар в упаковке);22.19.60.119;Перчатки резиновые прочие;b711eb14ed10ebb2dc87d8cffe6a10df;156
Шайба плоская М6 DIN 125;0.5;Без НДС;Килограмм;Вид товаров: Товары для ремонта или строительства || Диаметр: 6.0мм || Материал: сталь || Покрытие: противокоррозионное цинковое || Производитель: Ремкреп || Стандарт: DIN 125 || Тип: Шайба плоская || Цвет: Серебристый || Описание: Шайба плоская М6 DIN 125;25.94;Изделия крепежные и винты крепежные;f05d683707c70e867b7ce06fada70151;643
Стол эргономичный Easy One правый (дуб сонома, 1600x1200x743 мм);14075.6;20%;Штука;Высота: 0.0мм || Глубина: 0.0мм || Материал кромки: ПВX || Материал основания: ЛДСП || Материал столешницы: ЛДСП || Положение стола:: правый || Толщина материала столешницы: 22.0мм || Толщина отделочной кромки: 2.0мм || Цвет: дуб сонома || Ширина: 0.0мм || Описание: Стол эргономичный Easy One правый (дуб сонома, 1600x1200x743 мм);31.01.1;Мебель для офисов и предприятий торговли;b711eb14ed10ebb2dc87d8cffe6a10df;643
Папка-скоросшиватель пластик. OfficeSpace, А4, 120мкм, синяя с прозр. верхом;38.0;20%;Штука;Вид папок, систем архивации пластиковых: Папки пластиковые || Вид продукции: Товары || Вид системы архивации: Папки, системы архивации пластиковые || Вид материала: Пластик || Вид товаров: Папки, системы архивации документов || Наличие внутреннего кармана: Нет || Тип: Папка-скоросшиватель || Толщина пластика: 120.0мм || Формат: A4 || Цвет: прозрачный, синий || Описание: Папка-скоросшиватель пластик. OfficeSpace, А4, 120мкм, синяя с прозр. верхом;22.29.25.000;Принадлежности канцелярские или школьные пластмассовые;c84b38691ca42483bcf6a07178282500;643
Актуатор ТА2Р-2Е-160281-5521-011;24750.0;20%;Штука;Грузоподъемность: 200кг || Материал: Сталь || Напряжение источника питания: 24В || Узел: Актуатор || Описание: Актуатор ТА2Р-2Е-160281-5521-011;28.22;Оборудование подъемно-транспортное;371ba9bc899624034c1509c8764e388a;643
Сливки Campina порционные стерилизованные 10 шт. по 10г;73.13;10%;Упаковка;Вес, грамм: 100г || Вид сливок по способу обработки: Стерилизованные || Количество штук в транспортном коробе: 20шт || Сливки порционные: Да || Состав: сливки, молоко цельное || Срок годности: 6мес || Страна производства: Россия || Упаковка: индивидуальная || Описание: Сливки Campina порционные стерилизованные 10 шт. по 10г;10.51.12.110;Сливки питьевые;31f832b4d43a54f59a4f1fddba89af12;643
Жидкое органо-минеральное удобрение Для роз 1 литр Добрая сила;279.0;20%;Штука;Описание: Жидкое органо-минеральное удобрение Для роз 1 литр Добрая сила || Назначение: Для роз. || Объем: 1.0литр || Описание: Удобрение Для роз способствует пышному и продолжительному цветению. Стимулирует образование новых бутонов. Укрепляет  и восстанавливает корневую систему растений. Высококонцентированное органо-минеральное удобрение. Экономичный расход || Бренд: Добрая сила || Применение и норма внесения: 10 мл средства разводят в 10 л воды. Норма расхода раствора соответствует обычному поливу. Максимально допустимая концентрация не более 15 мл на 1,5 л воды. || Состав: NPK (3:3,5:4,5)+МЭ+Гумат+Витамины: B1, PP + янтарная кислота (стимулятор роста). || Форма: Жидкость;20.15;Удобрения и соединения азотные;c2c3bea3f9fe8262cea420f1b6d3772b;643
Автошина 225/75 R16C;13750.0;20%;Штука;Шипы: False || Высота профиля: 75% || Диаметр: 16дюйм || Индекс скорости и нагрузки: 121/120N || Размерность: 225/75R16 || Описание: Автошина 225/75 R16C;22.11.13.110;Шины и покрышки пневматические для автобусов, троллейбусов и грузовых автомобилей новые;8834b300133f3718f169865663fce50f;""
Ковер входной влаговпитывающий КОМФОРТ 90х150 см серый;2782.0;20%;Штука;Описание: Ковер входной влаговпитывающий КОМФОРТ 90х150 см серый || Высота (габарит y): 8мм || Длина (габарит z) (мм): 1500мм || Материал коврового покрытия: полиэстер/ПВХ || Схема вложения: 1шт || Цвет коврового покрытия: Серый || Ширина (габарит x): 900мм;22.19.72.000;Покрытия и коврики напольные из вулканизированной резины, кроме пористой;1a704f35389abe04eefc7026893dcb84;156
Изолента Safeline 15/20(серо-стальная) 73г.;205.0;20%;Штука;Описание: Изолента Safeline 15/20(серо-стальная) 73г. || Вес: 73г || Вид: ПВХ || Длина: 20м || Толщина: 15мкм || Цвет: серо-стальной || Ширина: 15мм;22.29.21.000;Плиты, листы, пленка, лента и прочие плоские полимерные самоклеящиеся формы, в рулонах шириной не более 20 см;3750647af3fc5857311cf1fc176f0e47;""
Лак яхтный NEOMID полуматовый, Экспертология (2,5л);1400.0;Без НДС;Штука;Расход 1 литра на: 10-13м[2*] || Цвет: бесцветный || Вид упаковки: жестяная банка || Объем: 2.5л дм[3*] || Основа: алкидно-уретановая смола || Разбавитель: готов к применению || Тип: яхтный Полуматовый || Описание: Лак яхтный NEOMID полуматовый, Экспертология (2,5л);20.30.1;Материалы лакокрасочные на основе полимеров;69942e995d4fd0412616a4ba326e5bba;""
Чайник сталь нержавеющая 3 л.;2400.0;Без НДС;Штука;Описание: Чайник сталь нержавеющая 3 л. || Вид материала ручки: Пластик || Вид изделия: Чайник || Вид материала корпуса: Сталь нержавеющая || Вид посуда: Посуда столовая, кухонная || Вид продукции: Товары || Вид столовой посуды: Посуда столовая, кухонная из металла || Вид товаров: Посуда || Виды посуды столовой, кухонной из металла: Изделия кухонные из нержавеющей стали || Высота: 210.0мм || Длина: 300.0мм || Для индукционных плит: Нет || Наличие антипригарного покрытия: Нет || Наличие крышки: Да || Наличие ручки: Да || Наличие съемной ручки: Нет || Наличие утолщенного дна: Нет || Объем: 3.0л дм[3*] || Цвет: Серебристый || Ширина: 190.0мм;25.99.12.112;Изделия столовые, кухонные и бытовые и их детали из нержавеющей стали;e06c1a2b403a51f273803b0ad92bef8f;156
Молоко пастеризованное;43.0;Без НДС;Литр кубический дециметр;Жирность: 2,5%% || Коровье: натуральное || Объем: 0.0л дм[3*] || Пастеризованное: подлежит кипячению || Питьевое: молоко || Описание: Молоко пастеризованное;10.51.11;Молоко, кроме сырого;ebeb2fc6cababec8fad527e4c5fe6dcb;""
Кресло CHAIRMAN 840 black (сетка серая);11080.0;Без НДС;Штука;Вид товаров: Мебель общего назначения || Газпатрон: 3 класс по стандарту Germany DIN 4550 || Вид материала крестовины: Пластик || Вид материала наполнителя: Вспененный полиуретан || Вид материала обивки сидения: Экокожа/ткань || Вид материала обисвки спинки: Сетка || Вид материала подлокотника: Пластик || Виды кресел: Кресла офисные || Виды мебели общего назначения: Кресла... || Высота: 1280.0мм || Глубина: 500.0мм || Количество лучевых опор крестовины: 5.0шт || Максимальная допустимая нагрузка: 120.0кг || Механизм: С возможностью фиксации кресла в рабочем положении || Назначение: Для руководителя || Наличие механизма регулировки по высоте: Да || Наличие подлокотников: Да || Ролики покрытие: нейлон || Цвет сидения: черный || Цвет спинки: серый || Описание: Кресло CHAIRMAN 840 black (сетка серая);31.01.12.160;Мебель для сидения, преимущественно с деревянным каркасом;195e035fe734a7247e8011346765cc83;643
Переход(ПрКр) - 1- 200x100 - 250 - 300 / 334 - 25x34 (оц. ст. 0.70/100 - Шина R20х65О);697.61;20%;Штука;Виды оборудования инженерно-строительного: Оборудование вентиляционное || Вид продукции: Товары || Вид товаров: Товары для ремонта или строительства || Виды оборудования вентиляционного: Короба вентиляционные || Виды товаров строительных: Оборудование инженерно-строительное || Габаритные размеры: 00x100 - 250 - 300 / 334 - 25x34мм || Длина: 250мм || Материал изготовления: оцинкованная сталь || Толщина металла: 0.7мм || Описание: Переход(ПрКр) - 1- 200x100 - 250 - 300 / 334 - 25x34 (оц. ст. 0.70/100 - Шина R20х65О);28.25.20.190;Вентиляторы прочие, кроме настольных, напольных, настенных, оконных, потолочных или вентиляторов для крыш;ff0b0ea137746bb53c79c3d23dd8e88b;643
Бумага протирочная VEIRO (Система W1), комплект 2 шт., 1000 листов в рулоне, 24х35 см, 2-слойная, Comfort, W201;2894.11;20%;Штука;Описание: Бумага протирочная VEIRO (Система W1), комплект 2 шт., 1000 листов в рулоне, 24х35 см, 2-слойная, Comfort, W201 || Вес изделия: 7.1кг || Вид сырья: облагороженная макулатура || Возможно использование без диспенсера: True || Диаметр рулона: 30см || Длина листа: 35см || Количество в упаковке: 1000.0шт || Количество слоев: 2шт || Количество штук в комплекте: 2 || Наличие втулки: True || Перфорация: True || Серия: Comfort || Тип товара: бумага протирочная || Цвет: голубой || Ширина листа: 24см || Ширина рулона: 24см;13.92.29.190;Изделия текстильные готовые прочие, не включенные в другие группировки;3ce5397064adfec4f56a7eeba43325ca;""
Шкаф закрытый Бюджет, 716х349х1810 мм, орех французский (КОМПЛЕКТ);12445.0;20%;Штука;Вид поставки: В разобранном виде || Вид продукции: Товары || Вид товаров: Мебель общего назначения || Вид шкафов: Шкафы деревянные. || Виды мебели общего назначения: Шкафы || Виды шкафов деревянных: Шкафы для документов деревянные || Высота: 1810.0мм || Глубина: 349.0мм || Каркас материал: ЛДСП || Тип изделия: шкафы, стеллажи || Цвет дверей: орех французский || Цвет каркаса: серый || Ширина: 716.0мм || Описание: Шкаф закрытый Бюджет, 716х349х1810 мм, орех французский (КОМПЛЕКТ);31.01.12.139;Шкафы деревянные прочие;3ce5397064adfec4f56a7eeba43325ca;643
Внутренний угол Идеал Комфорт 215 Дуб Снежный;30.0;20%;Штука;Материал: ПВХ || Цвет: Дуб снежный || Вид товаров: Товары для ремонта или строительства || Виды строительных материалов: Полимерный материал || Длина: 55.0мм || Область применения: для внутренних углов || Описание: Внутренний угол Идеал Комфорт 215 Дуб Снежный;22.23.19.000;Изделия пластмассовые строительные, не включенные в другие группировки;baab5a4a61bff5a63b15be782e9509ab;643
БОС Игрушка Утюг У612;75.0;10%;Штука;Возраст: от 3-хг лет || Габаритные размеры: 15х7х10см || Для мальчиков и девочек: True || Материал: Пластмасса || Развитие навыков: Игрушка способствует развитию социально-бытовых навыков, фантазии, предназначена для сюжетно-ролевых игр. || Размер упаковки: 16 х 8 х 6см || Описание: БОС Игрушка Утюг У612;32.40.39.290;Игрушки прочие, не включенные в другие группировки;9b1b593b2657048048fede4c7c8c0935;""
Папка-регистратор 80 мм Attache , синий Экономи,ПБП1,карм.кор;453.2;20%;Штука;Описание: Папка-регистратор 80 мм Attache , синий Экономи,ПБП1,карм.кор || Количество штук в транспортном коробе: 16шт || Арочный механизм папки открывается на 180 градусов: False || Вместимость папки: 600.0л. || Защита нижнего края папки регистратора: отсутствует || Материал внешнего покрытия: бумвинил || Материал внутреннего покрытия: бумага || Наличие кармана на внутренней обложке папки: False || Наличие кармана на корешке папки: Да || Наличие реестра на внутренней обложке: False || Страна происхождения: Россия || Формат: А4+ || Формат папки ориентирован: вертикально || Цвет: Синий || Ширина корешка: 80.0мм;17.23.13.193;Папки и обложки из бумаги или картона;b711eb14ed10ebb2dc87d8cffe6a10df;643
Новокаин р-р д/ин 5мг/мл амп 5мл Дальхимфарм Россия №10х1;46.0;Без НДС;Штука;Описание: Новокаин р-р д/ин 5мг/мл амп 5мл Дальхимфарм Россия №10х1 || Лекарственная форма: раствор для инъекций || Наименование фасовки: АМПУЛА || Объем индивидуальной упаковки: 5 мл || Дозированная форма: False || Дозировка: 5 мг/мл || Жизненно-необходимые и важнейшие лекарственные препараты: True || Количество в первичной упаковке: 10 || Количество во вторичной упаковке: 1шт || Международное непатентованное название: Прокаин;21.20.10.231;Анестетики;4f24ad7d28cfd18ebe8456b83083a006;""
Рулонная штора;47314.0;20%;Штука;Термопечать: True || Виды товаров строительных: Элементы домов || Высота: 2700.0мм || Материал изделия: ткань || Цвет: бежевый || Ширина изделия (миллиметр): 1600мм || Вид жалюзей, рулонных штор: Шторы рулонные из ткани || Вид изделия: Рулонная штора || Вид продукции: Товары || Вид товаров: Товары для ремонта или строительства || Вид элемента: Жалюзи, шторы рулонные || Описание: Рулонная штора;13.92.22.120;Навесы и маркизы (шторы от солнца);1146eb87972ac90d82fc22bc98b2a9d7;643
Готовальня Глобус 125 мм и 155 мм, 14 предметов НЧ-14-Т-02/нч-14-80-80;3568.4;20%;Набор;Вид материала: металл || Возрастная группа: без ограничений || Количество предметов: 14шт || Схема вложения: 7шт || Упаковка: пластиковый пенал || Описание: Готовальня Глобус 125 мм и 155 мм, 14 предметов НЧ-14-Т-02/нч-14-80-80;26.51.32.190;Инструменты для черчения, разметки или математических расчетов прочие;b711eb14ed10ebb2dc87d8cffe6a10df;156
Чешки гимнастические черные  Ilder, р. 33;900.0;Без НДС;Пара (2 шт.);Вид продукции: Товары || Вид товаров: Для спорта и отдыха || Виды спортивной экипировки: Специальная экипировка для гимнастики || Виды товаров спортивных: Спортивная экипировка || Материал: искусственная кожа || Материал стельки: хлопок || Размер изделия: 33 || Цвет: черный || Описание: Чешки гимнастические черные  Ilder, р. 33;32.30.14.112;Инвентарь и оборудование для спортивной и художественной гимнастики;37ae104926b42123b2bb4944a80690ff;156
Электроды ESAB 3.2x350 mm;684.55;Без НДС;Килограмм;Вид упаковки: картонная упаковка || Классификация: EN ISO 3580-A:E Mo B 3 2 H5 AWS A5.5: E7018-А1 || Напряжение холостого хода сварочного аппарата: 65В || Режим прокалки: 330-370°С[0*]С || Рекомендован к применению: Углеродистая и низколегированная сталь || Род тока: AC/DC(+/-) || Тип покрытия: основное || Диаметр электрода: 3,2мм || Описание: Электроды ESAB 3.2x350 mm;25.93.15.120;Электроды с покрытием;9e8fa92f26f30eb5245de046243b47a4;643
Мыло жидкое Спринтер ATLANTIC 1,0л. (насос-дозатор);169.0;Без НДС;Штука;Описание: Мыло жидкое Спринтер ATLANTIC 1,0л. (насос-дозатор) || Вид товаров: Бытовая химия || Форма выпуска мыла: Жидкое мыло || Состав средства: вода, лауретсульфат натрия, диетаноламид кокосового масла, кокамидопрополбетаин, перламутровая добавка, хлорид натрия, глицерин, растительный экстракт, лимонная кислота, консервант метилизотиазолинон, краситель пищевой, ароматизатор. || Объем: 1.0л дм[3*] || Вид бытовая химия: Мыло туалетное || Вид дозатора: насос || Вид продукции: Товары || Вид туалетного мыла: Мыло туалетное жидкое;20.41.31.130;Мыло туалетное жидкое;c8a20551f94be3cee9ab5c081bade759;643
Профнастил Н 60 1.0мм Оцинкован. Zn (цинк);9000.0;Без НДС;Штука;Описание: Профнастил Н 60 1.0мм Оцинкован. Zn (цинк) || Длина: 1500.0мм || Вид поверхности: Глянцевая || Защитный слой: 100-180грамм на  квадратный метр || Оборотная сторона: Оцинкованное || Покрытие: оцинкованное || Профиль: Н60 || Рез: Прямой || Толщина покрытия: 20мкм || Цвет: Цинк ZN || Ширина: 902.0мм;24.10.41.000;Прокат листовой холоднокатаный из прочих нелегированных сталей, без дополнительной обработки, шириной не менее 600 мм;7cb3de8aca80323217558b228122db4c;643
Kpaн шаровой латунный водоразборный арт.2510 рычаг красный G3/4 DN12 PN16 T+120° Tiemme;745.0;20%;Штука;Тип управления: Привод ручной (рукоятка) – ручка рычажная || Вид продукции: Товары || Вид соединительной, запорно-регулирующейарматуры: Краны шаровые || Виды товаров строительных: Деталь трубопровода || Виды труб и деталей трубопроводов: Арматура соединительная, запорно-регулирующая || Диаметр наружный штуцера: 20.0мм || Класс герметичности затвора: A || Материал корпуса: Латунь CW617N - EN 12165, покрытая никелем || Материал рукоятки: Алюминий, окрашенный || Материал уплотнительного кольца, седла: Фторопласт (политетрафторэтилен, PTFE) || Материал уплотнительных колец шпинделя: Бутадиен-нитрильный каучук (NBR) || Номинальное давление (PN): 1.6МПа || Материал шара: Латунь CW617N - EN 12164, покрытая хромом || Материал штока: Латунь CW617N - EN 12164, покрытая никелем || Назначение: Водоразборный || Наименование (состав) рабочей среды: Вода, воздух, этиленгликоль и др. неагрессивные в отношении частей крана жидкости. || Номинальный диаметр (DN): 12.0 || Цвет ручки: Красный || Форма корпуса: Угловой || Размер резьбы трубной цилиндрической (G): 3/4 || Ремонтопригодность уплотнения (сальника) штока: Нет || Строительная длина крана: 9.8см || Температура рабочей среды: 120.0[0*]С || Тип присоединения: Наружная резьба/штуцер || Тип проточной части корпуса крана: Неполнопроходной || Описание: Kpaн шаровой латунный водоразборный арт.2510 рычаг красный G3/4 DN12 PN16 T+120° Tiemme;28.14.13.131;Краны (шаровые, конусные и цилиндрические);f603edaf42dc44765d81dd374e453fe9;380
Добро пожаловать в экологию. Рабочая тетрадь для детей 4-5 лет. Часть 1. ФГОС;106.0;Без НДС;Штука;Описание: Добро пожаловать в экологию. Рабочая тетрадь для детей 4-5 лет. Часть 1. ФГОС || Isbn: 978-5-89814-265-0 || Автор/авторский коллектив: Воронкевич О.А || Вид: Обязательная часть основной образовательной программы || Вид обложки: Мягкая обложка || Габаритные размеры: 291x210x3мм || Количество полос: 40.0 || Наименование издателя(ей) учебника: Детство-Пресс || Наименование учебника: Добро пожаловать в экологию. Рабочая тетрадь для детей 4-5 лет. Часть 1. ФГОС || Специальный учебник для реализации основных адаптированных программ: Нет || Уровень образования: Дошкольное обучение;58.11.11.000;Учебники печатные общеобразовательного назначения;647ddd47e847bf4eef06f4167014f9d1;643
Носки мужские укороченные Борисоглебский трикотаж Размер 27-29 серые;120.0;Без НДС;Пара (2 шт.);Описание: Носки мужские укороченные Борисоглебский трикотаж Размер 27-29 серые || Массовая доля 2 дoполнительного сырья (волокна) в составе ткани/трикотажного полотна: 5% || Массовая доля дополнительного сырья (волокна) в составе ткани/трикотажного полотна: 12.0% || Массовая доля основного сырья (волокна) в составе ткани/трикотажного полотна: 83.0% || Половой признак: Для мальчика || Рисунок: False || Размер: 23-25 || Цвет: Серый || Вид 2 дополнительного сырья (волокна) в составе ткани/трикотажного полотна: Эластан || Вид дополнительного сырья (волокна) в составе ткани/трикотажного полотна: Полиамид || Вид основного сырья (волокна) в составе ткани/трикотажного полотна: Хлопок;14.31.10.111;Носки мужские из хлопчатобумажной и смешанной пряжи;0f4eee3c7eec348310d0fc7199857498;643
